year,revenue
05/06/2022,$3111.55
11/09/2022,$3775.38
07/29/2022,$1615.03
02/08/2020,$3084.91
05/11/2021,$2782.96
10/07/2020,$1216.33
10/08/2021,$4843.84
10/19/2022,$1581.34
10/13/2021,$3168.88
09/16/2022,$4693.75
02/15/2022,$3222.72
11/05/2020,$2107.87
09/02/2020,$1040.19
08/03/2022,$1665.97
06/28/2021,$2237.70
08/23/2022,$3811.87
07/27/2021,$4951.76
02/16/2022,$4717.71
08/02/2022,$2791.46
12/29/2021,$2647.09
02/02/2021,$1711.32
07/15/2021,$2156.26
07/17/2020,$4188.13
01/07/2022,$2117.02
01/11/2022,$1023.50
03/25/2021,$3661.59
11/18/2022,$2246.10
08/05/2021,$4050.65
02/02/2022,$4283.90
06/08/2021,$4347.45
10/15/2022,$2262.15
04/25/2020,$4571.08
03/24/2020,$3926.10
01/08/2020,$2860.72
07/31/2021,$4437.48
07/15/2021,$3305.05
09/19/2021,$2954.05
03/03/2020,$3677.39
12/08/2020,$4601.59
02/19/2022,$3782.88
12/03/2021,$1281.97
04/24/2020,$2961.04
04/15/2021,$1755.10
07/01/2020,$3393.56
08/23/2022,$3266.24
12/01/2020,$1788.63
06/03/2022,$1946.48
01/16/2020,$3531.04
01/12/2021,$1662.80
11/22/2022,$3920.30
07/20/2020,$3780.86
12/25/2021,$1959.35
10/15/2020,$4902.45
01/31/2021,$4870.50
06/12/2022,$3196.46
05/08/2021,$1438.29
01/21/2020,$1817.53
05/21/2021,$1639.81
04/08/2020,$4131.30
02/02/2022,$4113.95
03/01/2021,$4387.40
03/13/2022,$1771.48
06/02/2020,$3840.88
07/09/2021,$2435.02
03/05/2021,$3233.98
03/11/2021,$4669.23
06/15/2022,$3992.02
07/03/2021,$1197.10
05/25/2020,$2688.84
10/28/2022,$4651.83
03/09/2021,$1150.32
10/12/2020,$3444.90
06/26/2021,$2449.42
03/13/2022,$2179.96
04/14/2020,$3717.91
04/22/2022,$2342.52
12/12/2020,$1478.20
08/13/2021,$2284.25
10/11/2022,$1002.99
05/01/2022,$1654.22
01/12/2021,$1309.74
05/25/2022,$1695.23
07/14/2020,$4576.24
07/17/2021,$4910.37
01/04/2021,$3754.49
12/14/2020,$4040.04
01/20/2022,$1610.29
11/28/2020,$2372.44
12/12/2021,$4803.75
08/13/2020,$2472.44
10/28/2022,$1935.91
03/01/2022,$1747.59
04/08/2020,$4026.32
06/27/2020,$4558.77
03/09/2021,$1218.01
11/25/2022,$4813.73
03/08/2022,$1945.39
12/30/2022,$3504.39
05/19/2022,$1647.26
11/29/2020,$3999.86
02/13/2020,$2891.70
10/08/2021,$4367.78
08/07/2021,$3756.21
02/11/2021,$3817.28
07/17/2020,$1533.78
02/01/2022,$2399.53
07/23/2020,$4570.96
09/05/2021,$1644.15
01/07/2021,$2541.49
12/06/2021,$1986.74
12/17/2021,$1461.00
02/04/2022,$3175.98
02/02/2020,$3008.51
07/29/2021,$1513.51
07/11/2020,$3857.03
07/11/2022,$1791.27
01/26/2022,$1630.99
08/08/2021,$4241.32
08/08/2020,$1683.10
01/18/2020,$4857.79
12/21/2021,$2439.63
01/12/2022,$2993.49
07/24/2022,$2642.48
02/07/2021,$3988.40
01/31/2020,$3258.39
06/12/2020,$1502.57
03/19/2022,$4540.90
09/10/2020,$4494.07
01/01/2022,$3381.32
06/17/2020,$1319.44
04/28/2020,$4362.93
05/16/2021,$4093.12
06/26/2021,$1541.58
03/04/2020,$2568.77
10/20/2021,$4389.41
08/27/2022,$2809.07
09/29/2021,$2977.53
05/11/2021,$3337.69
08/09/2020,$1615.87
10/14/2021,$2917.64
04/23/2021,$2342.31
04/06/2021,$1540.84
04/16/2020,$1521.95
05/26/2022,$3264.23
09/05/2021,$1148.46
12/11/2020,$2058.12
09/27/2022,$2143.08
04/24/2022,$1912.62
09/27/2021,$3444.23
06/08/2020,$4096.08
08/08/2021,$3762.37
06/10/2022,$3679.41
04/11/2021,$3442.63
04/11/2020,$3429.65
02/01/2020,$3128.09
04/26/2020,$3931.12
12/21/2021,$2859.27
04/14/2021,$2439.29
04/26/2021,$1596.28
12/29/2022,$1531.59
07/11/2022,$2264.19
04/24/2021,$3856.82
04/08/2020,$3149.46
08/18/2022,$3590.75
07/16/2022,$1310.86
06/12/2021,$1556.36
07/30/2022,$4510.06
04/19/2022,$1971.74
06/04/2020,$2146.89
06/23/2022,$4347.24
09/15/2021,$1882.85
05/18/2022,$2502.65
05/08/2020,$4867.31
06/14/2022,$2386.39
07/10/2021,$1414.62
10/24/2021,$4693.54
05/05/2022,$4072.47
12/31/2021,$1277.93
06/10/2022,$1596.27
04/21/2021,$1874.15
06/28/2022,$4220.84
12/04/2022,$1147.64
01/29/2021,$2769.77
08/29/2022,$1786.86
12/01/2021,$1271.69
08/25/2022,$2133.21
04/10/2020,$2779.38
01/06/2021,$1816.53
01/22/2022,$3282.77
03/22/2022,$1335.51
06/03/2020,$1537.25
07/12/2022,$1181.61
05/13/2021,$1695.56
01/29/2021,$4808.88
07/08/2022,$4742.52
01/02/2020,$3042.12
09/12/2021,$4957.64
08/12/2021,$4484.81
12/06/2022,$1276.17
01/21/2021,$1150.49
01/17/2021,$2461.40
02/05/2021,$2353.87
05/02/2022,$1605.08
11/30/2022,$3772.63
07/10/2021,$3641.40
01/30/2021,$2475.70
05/18/2021,$3092.69
10/03/2020,$3987.31
05/24/2021,$4037.93
04/21/2020,$4321.10
12/16/2022,$2567.45
07/31/2022,$1235.18
08/31/2022,$3581.27
02/27/2021,$1723.22
02/13/2020,$4119.23
11/25/2020,$1513.81
09/11/2021,$1958.72
06/07/2022,$1180.02
05/22/2021,$3320.25
02/29/2020,$4392.43
04/08/2021,$4819.80
02/19/2020,$3393.90
08/14/2021,$2601.38
03/27/2022,$4637.27
02/13/2020,$4542.30
10/24/2022,$1734.77
10/18/2020,$4882.59
03/25/2021,$4100.06
06/16/2021,$3078.95
06/21/2022,$3754.86
12/24/2021,$3523.23
05/09/2020,$4574.65
02/21/2020,$4012.23
04/21/2022,$4717.40
09/17/2022,$4321.85
07/24/2021,$1686.68
04/22/2020,$4160.82
12/22/2020,$3255.53
06/25/2021,$4692.22
06/26/2020,$1572.59
08/16/2022,$3555.34
07/07/2020,$1567.49
12/31/2020,$2320.40
04/27/2020,$4269.40
08/05/2021,$1985.36
03/20/2021,$2319.74
08/27/2021,$2046.68
02/08/2020,$4082.48
06/25/2020,$1337.21
02/02/2021,$4658.87
03/30/2020,$2817.00
09/06/2022,$4020.26
10/04/2020,$4600.67
08/27/2021,$2892.00
06/21/2022,$4014.35
08/07/2021,$2656.30
10/09/2022,$1448.05
03/26/2021,$4515.92
05/31/2020,$4973.00
11/28/2021,$1484.67
10/07/2020,$1311.81
11/05/2021,$4181.88
01/19/2022,$1258.03
06/21/2021,$4119.32
04/15/2020,$1984.72
03/03/2021,$2988.58
10/30/2020,$2011.46
02/18/2020,$3579.09
08/03/2022,$4710.59
05/13/2020,$3835.15
10/30/2020,$4973.93
07/02/2021,$4449.45
03/10/2020,$2887.11
02/23/2022,$2237.70
12/27/2022,$3520.06
09/02/2022,$4742.78
09/10/2020,$1312.46
11/16/2022,$2746.25
06/16/2020,$1745.51
06/02/2020,$3050.21
11/28/2022,$2560.40
08/03/2021,$3965.41
02/25/2020,$1386.55
07/29/2022,$2758.32
06/18/2021,$1582.70
11/08/2020,$1755.19
12/20/2022,$3187.26
08/25/2020,$3059.62
05/01/2022,$1163.78
02/18/2020,$4766.95
12/01/2020,$1180.44
03/19/2020,$2281.66
11/23/2020,$1300.30
05/01/2020,$2091.67
09/17/2021,$3223.18
10/21/2021,$2550.60
10/13/2021,$3795.27
06/10/2020,$3192.44
11/14/2022,$3769.79
08/03/2022,$4455.97
07/22/2022,$4496.10
11/09/2021,$3357.80
09/30/2022,$4029.82
04/08/2021,$1361.92
04/28/2022,$4686.43
08/17/2020,$4228.20
05/22/2022,$4264.81
03/13/2022,$2636.37
12/13/2020,$1763.54
01/18/2022,$4444.13
03/31/2020,$1884.23
11/04/2020,$4258.82
08/04/2021,$4075.52
01/03/2022,$2661.36
09/17/2022,$2784.03
02/19/2021,$2402.48
12/07/2022,$1896.60
09/06/2021,$4362.83
04/30/2021,$2462.60
09/29/2022,$4175.37
05/23/2020,$3154.35
05/03/2022,$4074.66
11/12/2021,$1721.46
04/29/2020,$1852.77
01/18/2021,$4269.74
10/29/2022,$1183.33
03/04/2020,$4204.93
04/08/2021,$3365.72
03/17/2021,$1012.95
12/22/2022,$3716.68
03/23/2022,$2480.09
10/01/2022,$1117.13
04/07/2022,$2751.09
01/06/2020,$3601.78
07/17/2021,$1218.13
06/23/2020,$1098.53
03/09/2020,$2568.78
05/24/2021,$3039.84
01/13/2021,$4161.89
12/28/2021,$4671.17
03/25/2021,$4236.18
01/30/2021,$4193.97
04/24/2022,$4955.17
11/01/2021,$3702.07
02/25/2020,$1364.76
07/10/2020,$2305.41
10/13/2020,$3757.07
02/14/2022,$1618.31
06/13/2022,$4469.60
04/16/2021,$1668.78
01/21/2021,$2601.03
12/22/2020,$4129.32
11/14/2022,$1407.35
06/06/2021,$3300.96
08/19/2020,$3713.20
02/17/2022,$4450.17
11/17/2020,$4346.17
10/02/2020,$4882.54
11/28/2021,$4868.10
12/26/2021,$3653.55
02/27/2020,$1469.05
04/06/2020,$2314.65
12/04/2020,$4036.16
05/27/2022,$4779.93
08/01/2022,$4025.19
10/30/2020,$2980.30
02/05/2022,$2890.48
03/28/2022,$2434.39
09/07/2020,$1616.62
12/19/2021,$2974.61
11/27/2020,$3579.25
01/29/2021,$3917.43
07/13/2020,$2588.69
04/25/2022,$1302.55
04/14/2022,$1240.82
12/19/2022,$2495.06
10/14/2020,$2932.24
07/26/2020,$2728.64
05/10/2022,$2160.02
12/28/2022,$2572.57
02/01/2022,$4484.49
02/22/2020,$1865.37
10/12/2022,$1225.32
09/01/2020,$1746.35
11/05/2021,$4388.77
11/10/2020,$2045.38
06/29/2020,$1252.08
07/19/2022,$4452.41
10/09/2022,$1195.60
05/23/2020,$1135.59
08/10/2022,$2046.44
06/18/2021,$3719.45
07/11/2021,$2443.25
03/21/2021,$1581.33
08/28/2022,$3593.08
08/04/2020,$3976.36
12/29/2020,$2167.59
12/12/2020,$4756.64
02/27/2022,$4298.70
10/01/2020,$1643.33
08/26/2020,$3794.19
02/02/2022,$1440.66
03/24/2021,$2089.02
01/18/2021,$2196.53
03/29/2022,$1099.23
10/06/2020,$2234.05
12/10/2022,$4146.65
12/17/2022,$3132.98
04/24/2022,$1266.14
09/28/2022,$4717.87
05/30/2021,$3111.43
11/23/2021,$4937.21
05/07/2020,$3542.15
06/05/2021,$2316.06
09/18/2020,$3716.82
09/28/2022,$1775.09
05/01/2020,$4567.31
09/17/2020,$1181.95
07/23/2021,$1792.65
04/28/2022,$4942.86
12/17/2020,$2300.44
04/18/2021,$3585.16
07/21/2021,$3454.74
10/30/2021,$4001.65
09/13/2021,$2030.53
11/09/2021,$4389.05
07/31/2020,$2379.59
07/23/2021,$4367.99
06/25/2022,$4438.68
06/21/2021,$2866.18
01/28/2021,$2717.24
11/08/2021,$1628.01
04/01/2020,$2968.17
04/10/2020,$1698.55
06/13/2020,$1089.75
01/10/2022,$2308.34
08/25/2022,$1172.68
06/29/2020,$2514.10
04/16/2020,$4995.53
03/13/2022,$4885.26
05/01/2021,$4692.79
07/10/2021,$2021.75
11/05/2021,$1572.64
06/11/2022,$3634.55
03/27/2022,$2335.14
03/17/2021,$1147.71
04/08/2020,$1600.70
03/27/2020,$3007.43
05/08/2021,$3526.19
09/25/2020,$4390.28
11/24/2022,$3905.90
04/09/2022,$3065.63
05/18/2020,$4966.00
07/29/2022,$2657.94
09/11/2021,$1495.69
11/23/2021,$3512.08
06/04/2020,$3816.51
02/25/2020,$3578.07
01/20/2022,$2496.19
03/01/2022,$4343.19
12/29/2021,$1577.17
02/10/2020,$2686.42
03/24/2022,$4603.09
08/25/2021,$1439.15
11/13/2021,$1256.54
12/24/2020,$1738.49
09/01/2022,$1170.60
09/12/2020,$2158.06
11/26/2022,$4897.02
09/26/2022,$4678.94
06/03/2022,$2692.55
11/03/2020,$3268.34
09/10/2022,$4596.43
11/20/2022,$4919.47
11/23/2022,$2902.58
10/24/2020,$3196.12
03/25/2022,$3697.45
04/28/2021,$2238.72
12/05/2021,$3854.88
01/18/2021,$4767.25
04/26/2020,$2918.61
11/26/2022,$4136.50
01/05/2020,$1595.88
09/21/2021,$3383.40
07/25/2020,$4575.07
07/15/2022,$4868.38
01/06/2022,$1077.18
11/21/2021,$1436.74
10/20/2021,$2010.04
06/26/2021,$1221.13
02/19/2021,$3639.65
06/18/2021,$2902.18
01/01/2021,$2062.00
07/11/2022,$2690.83
08/17/2020,$1114.80
11/16/2021,$2967.02
03/16/2021,$4265.16
09/20/2021,$2302.39
02/25/2020,$3066.03
08/13/2021,$4239.06
12/18/2021,$4674.57
08/31/2021,$1097.62
09/13/2020,$2487.31
01/09/2021,$4384.76
01/05/2020,$1994.39
08/29/2021,$4910.34
12/11/2021,$2362.54
07/12/2022,$3350.35
10/09/2020,$4002.23
05/17/2022,$2593.36
08/29/2021,$2492.60
10/21/2021,$4786.31
01/15/2021,$2392.37
06/09/2022,$4732.02
12/14/2021,$1958.79
05/15/2020,$1423.12
08/17/2021,$4635.60
12/15/2021,$2665.99
04/17/2021,$3999.09
04/26/2020,$2239.34
05/08/2020,$4878.09
01/10/2022,$3633.36
10/16/2020,$3725.70
07/26/2020,$4549.79
05/02/2020,$2614.46
02/05/2021,$1267.88
12/26/2021,$1029.48
06/11/2020,$4774.68
04/02/2022,$3066.52
12/27/2021,$4717.81
06/07/2020,$2281.92
10/17/2022,$2123.50
06/01/2022,$4123.64
02/17/2020,$1861.44
01/12/2020,$4628.27
03/09/2021,$2290.90
04/04/2020,$4414.64
12/25/2021,$2886.95
07/11/2020,$2702.54
10/03/2022,$4165.83
12/22/2021,$2874.91
02/08/2022,$2542.82
07/15/2022,$4819.51
10/10/2020,$1322.53
03/11/2020,$2278.33
05/20/2020,$4967.40
07/12/2020,$4787.86
12/15/2020,$3864.04
04/04/2020,$3586.10
01/31/2021,$4452.73
12/09/2021,$1241.99
01/31/2022,$4300.71
02/04/2022,$4988.37
05/15/2022,$2743.65
01/14/2020,$4864.02
07/05/2020,$2530.74
09/24/2021,$4910.94
05/13/2020,$3839.71
04/28/2022,$1967.11
07/30/2022,$4872.06
11/09/2022,$3577.23
07/14/2022,$1786.16
10/13/2020,$4593.14
02/15/2022,$4349.70
11/17/2021,$2116.13
02/24/2021,$3740.45
06/12/2022,$4443.69
05/10/2022,$3717.48
09/23/2022,$3146.49
08/08/2020,$4374.86
09/05/2020,$4166.89
06/30/2021,$2634.55
05/06/2020,$3183.54
01/21/2021,$4071.11
05/06/2020,$1031.49
12/15/2022,$3944.30
09/07/2022,$4523.49
04/11/2022,$1421.32
12/26/2021,$4550.78
12/08/2020,$3539.60
05/03/2021,$3393.79
03/06/2021,$2430.32
02/12/2021,$3182.94
08/28/2020,$2006.10
06/24/2022,$4745.71
04/04/2021,$4446.61
01/02/2021,$3367.74
12/17/2021,$3431.60
01/19/2021,$3548.93
10/19/2021,$3516.42
11/05/2020,$3083.08
07/29/2020,$4579.76
04/20/2020,$2704.64
08/18/2022,$3344.28
04/14/2020,$2406.38
12/18/2022,$3599.97
12/18/2021,$3041.57
04/05/2021,$2316.29
02/08/2021,$1381.22
06/07/2021,$1902.78
02/27/2021,$4222.57
05/28/2020,$4355.05
12/04/2022,$1023.00
04/15/2021,$2503.89
10/26/2022,$1154.54
04/20/2020,$1621.27
09/30/2021,$3605.17
01/08/2022,$2173.36
08/21/2021,$1358.21
06/29/2021,$4438.64
06/09/2022,$2664.71
08/24/2020,$4303.94
12/21/2020,$2537.41
04/10/2022,$1246.18
05/09/2022,$4040.19
03/10/2021,$1853.46
05/29/2021,$3554.91
08/03/2020,$4263.29
08/28/2021,$1005.49
06/29/2022,$2829.75
11/29/2020,$4321.66
11/17/2021,$1208.36
03/22/2022,$1859.82
10/28/2020,$2029.23
11/21/2020,$3815.64
02/08/2020,$2019.53
12/09/2020,$1560.77
07/01/2021,$4507.32
03/12/2021,$2110.03
01/06/2022,$3873.60
04/20/2022,$1152.08
07/07/2021,$1506.88
01/22/2022,$2400.44
09/15/2020,$2944.47
11/01/2020,$4941.02
04/01/2022,$2081.90
06/17/2020,$4918.79
10/02/2020,$4264.47
03/01/2020,$2238.52
02/05/2022,$4330.83
02/09/2020,$2115.75
01/23/2022,$2337.12
03/02/2021,$1050.81
04/14/2021,$1079.69
10/22/2021,$1798.10
11/27/2021,$1044.65
07/12/2022,$2274.77
08/05/2020,$2248.09
12/06/2021,$1378.75
09/11/2022,$3963.91
07/03/2020,$1374.91
12/28/2022,$1693.59
03/24/2022,$1861.17
03/20/2020,$3259.50
06/21/2021,$4477.69
04/15/2020,$4168.54
03/11/2021,$1174.94
02/15/2020,$2693.99
11/11/2021,$1448.16
09/24/2021,$4616.87
07/22/2022,$4455.03
04/23/2021,$3808.79
11/17/2021,$4544.96
01/13/2022,$3281.72
03/31/2022,$4380.33
07/14/2021,$3362.36
05/18/2020,$1987.69
09/02/2022,$3962.90
11/26/2021,$1509.87
06/05/2020,$4619.41
03/31/2020,$1032.88
02/03/2020,$1886.27
06/27/2022,$4974.44
12/12/2020,$2413.44
04/04/2020,$4053.73
09/21/2021,$2281.05
09/21/2022,$2317.86
05/19/2021,$2786.01
10/06/2021,$3965.09
12/04/2022,$4277.00
06/04/2020,$4807.75
08/02/2021,$4528.76
07/25/2022,$4678.03
01/30/2020,$3643.41
07/31/2021,$1057.30
05/08/2020,$1846.85
03/29/2020,$4183.44
08/26/2020,$2680.70
07/27/2021,$2733.03
03/12/2022,$2691.43
02/03/2022,$1014.51
07/17/2020,$4270.79
08/18/2020,$2520.42
12/17/2020,$2751.69
12/27/2021,$2523.94
01/25/2022,$1351.00
03/23/2020,$1925.83
04/03/2021,$3505.96
09/11/2022,$3992.53
08/18/2021,$2384.21
09/29/2022,$2942.53
02/13/2021,$2653.85
12/10/2022,$3475.44
01/21/2020,$1846.96
09/09/2020,$1355.17
01/28/2021,$1516.19
02/07/2021,$1050.26
06/26/2020,$3430.72
09/01/2020,$2099.49
09/12/2022,$4601.82
01/25/2021,$3339.20
06/20/2020,$3164.82
09/29/2022,$4675.14
07/31/2022,$1164.87
09/24/2020,$3464.52
06/25/2021,$2626.57
01/29/2021,$4785.74
05/06/2021,$4089.60
06/08/2022,$1332.54
02/12/2022,$4498.32
05/21/2020,$3956.99
09/28/2021,$4307.58
05/15/2021,$1486.71
02/07/2021,$2290.38
07/31/2020,$3844.54
01/13/2021,$2803.45
11/16/2022,$4103.76
10/12/2022,$2710.61
07/28/2022,$4193.20
11/24/2020,$2934.92
11/20/2021,$3919.87
05/16/2020,$2189.58
08/02/2020,$3432.67
07/16/2022,$4289.74
10/13/2020,$2079.55
10/07/2020,$1877.06
02/21/2022,$3880.19
03/28/2020,$2139.20
12/23/2021,$3883.64
08/15/2021,$1418.35
01/17/2022,$4138.28
10/24/2020,$3401.65
07/21/2022,$4298.37
12/20/2021,$3601.24
01/26/2021,$1486.12
12/21/2021,$1221.70
07/05/2021,$2300.64
05/27/2021,$2118.23
01/21/2021,$1357.09
11/26/2022,$4481.86
08/04/2022,$2771.76
12/06/2022,$2104.00
11/02/2022,$4908.22
06/26/2022,$4152.47
09/10/2022,$1996.86
06/01/2021,$4935.29
10/14/2020,$1400.64
01/14/2020,$1746.01
05/23/2021,$2970.86
08/22/2021,$4780.22
06/29/2020,$2165.03
12/02/2022,$1533.01
05/04/2020,$4495.25
08/22/2022,$2148.49
05/27/2021,$1493.58
04/21/2021,$4312.63
12/10/2021,$3143.05
11/08/2021,$1461.71
05/16/2020,$4218.66
12/27/2020,$4738.55
11/22/2020,$3670.91
10/09/2021,$3050.20
11/20/2022,$2923.64
08/31/2020,$2771.79
09/11/2021,$3057.64
01/13/2021,$4238.50
07/14/2022,$4291.68
03/16/2022,$3071.41
10/03/2020,$1764.77
03/07/2022,$1891.66
11/14/2020,$3226.90
02/11/2022,$3225.41
03/26/2022,$3055.84
10/24/2022,$1784.78
07/30/2020,$2458.31
01/02/2020,$3633.44
02/23/2022,$3311.81
06/19/2020,$4903.68
04/17/2022,$3687.95
03/25/2020,$1967.88
08/03/2021,$2904.77
01/21/2020,$4324.42
05/22/2020,$2271.75
12/10/2022,$3191.15
03/26/2021,$3279.92
02/19/2022,$1219.39
06/18/2022,$1472.56
04/22/2021,$3422.16
08/02/2021,$2528.33
02/06/2021,$3440.85
06/04/2022,$2702.03
09/01/2021,$4371.75
06/04/2021,$3330.87
03/30/2021,$2343.96
08/03/2022,$4149.10
06/13/2022,$1239.11
08/15/2020,$1174.92
02/03/2020,$3799.98
09/22/2022,$3849.58
06/24/2020,$3407.31
07/10/2022,$4278.04
05/20/2022,$3011.21
02/13/2020,$2789.19
08/11/2021,$2349.10
05/28/2021,$4462.88
09/17/2022,$1261.44
04/29/2021,$3787.12
10/15/2020,$1358.01
04/02/2021,$3177.39
03/08/2021,$3609.27
12/23/2021,$4720.31
05/03/2022,$4388.06
09/20/2022,$2937.24
07/09/2021,$4657.95
10/19/2020,$2151.62
04/19/2021,$2593.77
09/20/2021,$3169.34
01/31/2020,$3867.69
09/04/2020,$4603.26
05/30/2020,$3720.71
03/18/2022,$4942.32
02/27/2021,$4913.44
12/17/2020,$4259.53
03/18/2022,$1668.42
09/20/2020,$3926.78
02/23/2022,$1871.68
10/20/2022,$1996.41
05/13/2020,$3874.74
10/12/2020,$3405.59
01/17/2020,$2173.28
02/24/2020,$1087.93
01/06/2022,$4438.67
01/08/2021,$4482.00
10/20/2021,$4867.24
08/30/2022,$4564.40
08/10/2022,$2231.73
12/30/2022,$4494.11
06/28/2020,$4129.01
11/27/2020,$1122.21
03/09/2021,$3533.18
04/25/2020,$2031.75
12/10/2022,$2216.56
03/18/2021,$3149.26
12/03/2021,$3177.81
06/13/2021,$2333.34
02/10/2020,$1882.99
10/09/2021,$1949.27
05/04/2020,$2867.32
05/01/2021,$2055.14
06/05/2022,$1225.48
05/13/2021,$1792.61
05/01/2020,$3991.07
08/25/2021,$2206.71
05/02/2020,$4270.47
10/02/2021,$3788.86
05/07/2021,$4284.49
10/21/2020,$2089.24
06/30/2022,$2540.78
04/01/2021,$3229.69
03/11/2020,$3076.84
05/19/2020,$1462.38
08/24/2022,$1859.08
10/14/2021,$3537.42
02/26/2021,$4951.25
10/23/2021,$3704.90
07/23/2022,$4488.97
09/01/2021,$3823.24
04/04/2020,$1380.48
02/09/2022,$3014.87
10/26/2022,$1308.89
05/25/2020,$2718.57
10/13/2020,$2625.95
06/09/2021,$3014.61
03/04/2021,$1708.79
01/16/2022,$2139.43
06/07/2020,$4154.65
06/06/2022,$3762.76
07/27/2021,$1643.27
08/06/2022,$2054.77
08/20/2022,$3336.71
06/30/2022,$1033.14
04/16/2021,$1310.81
04/12/2021,$1773.70
10/28/2021,$4383.62
11/16/2021,$3073.94
04/14/2022,$2536.92
09/02/2022,$1686.19
01/02/2022,$2637.78
12/02/2021,$2115.37
06/24/2020,$3941.94
04/08/2021,$1801.10
06/04/2021,$3680.60
01/01/2022,$2278.92
06/16/2020,$3012.20
11/29/2022,$4632.09
01/30/2021,$2160.70
06/18/2020,$4126.68
04/18/2022,$2861.19
04/21/2020,$4560.64
02/14/2022,$3407.90
04/11/2022,$2319.76
02/24/2022,$4360.56
12/13/2021,$2456.94
06/28/2020,$2705.17
12/30/2022,$2783.72
01/11/2022,$4352.75
